Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
Sector 17,2025-06-10,01:00:00,1065,Low,59,Street,Foggy,Yes,Green
Industrial Area,2025-06-10,02:00:00,658,Medium,26,Street,Cloudy,No,Red
Sector 35,2025-06-10,03:00:00,495,High,69,Main Road,Foggy,No,Red
Sector 17,2025-06-10,04:00:00,270,Medium,75,Street,Rainy,No,Yellow
Sector 43,2025-06-10,05:00:00,1628,High,33,Main Road,Cloudy,No,Red
Sector 17,2025-06-10,06:00:00,1877,Low,41,Street,Foggy,No,Green
IT Park,2025-06-10,07:00:00,1451,Medium,28,Highway,Sunny,No,Yellow
Sector 17,2025-06-10,08:00:00,1693,Low,75,Main Road,Cloudy,No,Yellow
IT Park,2025-06-10,09:00:00,1339,High,69,Street,Foggy,No,Yellow
IT Park,2025-06-10,10:00:00,144,High,75,Main Road,Foggy,No,Green
IT Park,2025-06-10,11:00:00,311,High,24,Main Road,Sunny,Yes,Red
Sector 43,2025-06-10,12:00:00,1898,High,44,Main Road,Rainy,No,Yellow
Sector 17,2025-06-10,13:00:00,946,High,78,Highway,Sunny,No,Green
Sector 17,2025-06-10,14:00:00,1144,Medium,36,Street,Foggy,Yes,Red
Sector 43,2025-06-10,15:00:00,268,High,16,Street,Sunny,No,Yellow
Sector 35,2025-06-10,16:00:00,1606,Low,15,Main Road,Sunny,No,Red
Sector 22,2025-06-10,17:00:00,141,Medium,42,Street,Foggy,No,Red
Sector 17,2025-06-10,18:00:00,176,Low,67,Highway,Rainy,No,Red
Sector 22,2025-06-10,19:00:00,129,High,58,Main Road,Sunny,No,Green
Industrial Area,2025-06-10,20:00:00,1897,Low,26,Highway,Sunny,No,Yellow
Industrial Area,2025-06-10,21:00:00,1311,Medium,51,Highway,Cloudy,No,Yellow
Sector 43,2025-06-10,22:00:00,1032,Medium,49,Street,Cloudy,No,Yellow
Industrial Area,2025-06-10,23:00:00,1445,Medium,55,Street,Foggy,No,Green
Industrial Area,2025-06-11,00:00:00,965,Low,79,Main Road,Foggy,No,Red
Sector 35,2025-06-11,01:00:00,535,Medium,77,Highway,Foggy,No,Green
Sector 35,2025-06-11,02:00:00,743,Low,10,Street,Cloudy,Yes,Yellow
Sector 35,2025-06-11,03:00:00,74,High,61,Main Road,Foggy,No,Red
Industrial Area,2025-06-11,04:00:00,205,High,44,Main Road,Sunny,No,Green
Sector 43,2025-06-11,05:00:00,1590,Low,78,Street,Sunny,Yes,Green
IT Park,2025-06-11,06:00:00,681,Medium,14,Highway,Rainy,No,Green
IT Park,2025-06-11,07:00:00,1862,Low,26,Main Road,Foggy,No,Green
Sector 22,2025-06-11,08:00:00,1603,Low,62,Street,Sunny,No,Red
IT Park,2025-06-11,09:00:00,1783,Low,61,Main Road,Sunny,No,Green
IT Park,2025-06-11,10:00:00,1130,High,23,Street,Rainy,No,Red
Sector 35,2025-06-11,11:00:00,1678,Low,38,Main Road,Sunny,No,Green
Sector 35,2025-06-11,12:00:00,68,High,17,Highway,Rainy,No,Yellow
Industrial Area,2025-06-11,13:00:00,1457,Low,10,Main Road,Rainy,No,Green
Sector 22,2025-06-11,14:00:00,1938,High,38,Street,Cloudy,No,Green
Sector 17,2025-06-11,15:00:00,1266,Low,45,Street,Sunny,No,Yellow
Sector 22,2025-06-11,16:00:00,286,Low,60,Street,Cloudy,No,Red
Sector 22,2025-06-11,17:00:00,1460,Medium,46,Highway,Sunny,No,Green
Sector 43,2025-06-11,18:00:00,1499,Medium,78,Street,Cloudy,No,Green
Industrial Area,2025-06-11,19:00:00,326,Low,62,Street,Rainy,No,Yellow
Sector 43,2025-06-11,20:00:00,1300,Low,61,Highway,Rainy,No,Red
Sector 22,2025-06-11,21:00:00,794,Low,21,Street,Rainy,No,Yellow
Sector 22,2025-06-11,22:00:00,601,Low,61,Street,Rainy,No,Green
Sector 22,2025-06-11,23:00:00,1396,Medium,10,Highway,Sunny,No,Red
IT Park,2025-06-12,00:00:00,1226,High,16,Main Road,Foggy,No,Green
Sector 43,2025-06-12,01:00:00,688,Low,26,Street,Sunny,No,Yellow
Sector 22,2025-06-12,02:00:00,286,Medium,52,Main Road,Cloudy,No,Green
Sector 35,2025-06-12,03:00:00,1047,Low,26,Highway,Sunny,No,Yellow
Industrial Area,2025-06-12,04:00:00,104,Low,68,Street,Sunny,No,Yellow
Industrial Area,2025-06-12,05:00:00,1509,High,12,Street,Cloudy,Yes,Red
Sector 35,2025-06-12,06:00:00,733,Low,38,Highway,Rainy,No,Yellow
Industrial Area,2025-06-12,07:00:00,158,Low,31,Street,Cloudy,No,Red
IT Park,2025-06-12,08:00:00,1939,High,47,Main Road,Cloudy,No,Red
IT Park,2025-06-12,09:00:00,1257,High,63,Main Road,Foggy,No,Red
Sector 17,2025-06-12,10:00:00,1441,High,59,Highway,Foggy,No,Red
Sector 17,2025-06-12,11:00:00,1271,High,78,Street,Rainy,Yes,Red
Sector 17,2025-06-12,12:00:00,1444,Medium,39,Street,Cloudy,No,Yellow
Industrial Area,2025-06-12,13:00:00,422,Medium,32,Highway,Cloudy,No,Yellow
IT Park,2025-06-12,14:00:00,1022,Medium,56,Main Road,Cloudy,No,Red
IT Park,2025-06-12,15:00:00,1570,Low,30,Main Road,Sunny,No,Yellow
IT Park,2025-06-12,16:00:00,1672,High,29,Highway,Foggy,No,Red
Sector 35,2025-06-12,17:00:00,250,High,32,Street,Foggy,No,Yellow
IT Park,2025-06-12,18:00:00,898,Medium,77,Main Road,Rainy,No,Red
Sector 35,2025-06-12,19:00:00,558,Low,30,Street,Foggy,No,Green
Sector 17,2025-06-12,20:00:00,1395,Low,30,Main Road,Foggy,No,Green
Sector 17,2025-06-12,21:00:00,324,Low,10,Street,Rainy,No,Red
Industrial Area,2025-06-12,22:00:00,260,Medium,24,Main Road,Cloudy,No,Yellow
Sector 17,2025-06-12,23:00:00,553,Low,26,Street,Sunny,No,Red
Industrial Area,2025-06-13,00:00:00,1976,Low,60,Highway,Rainy,Yes,Yellow
Sector 22,2025-06-13,01:00:00,1191,Low,72,Main Road,Foggy,Yes,Red
Sector 22,2025-06-13,02:00:00,752,High,23,Highway,Rainy,No,Red
Sector 43,2025-06-13,03:00:00,1627,Medium,68,Main Road,Foggy,No,Yellow
Industrial Area,2025-06-13,04:00:00,91,High,59,Main Road,Cloudy,No,Yellow
Sector 43,2025-06-13,05:00:00,364,High,43,Main Road,Cloudy,No,Red
Sector 43,2025-06-13,06:00:00,837,Medium,15,Street,Cloudy,No,Green
Sector 22,2025-06-13,07:00:00,378,High,58,Main Road,Foggy,Yes,Green
Industrial Area,2025-06-13,08:00:00,1090,Low,15,Highway,Rainy,No,Green
Sector 22,2025-06-13,09:00:00,332,Low,78,Street,Foggy,No,Green
Sector 43,2025-06-13,10:00:00,992,Low,16,Street,Cloudy,No,Green
Industrial Area,2025-06-13,11:00:00,307,Low,60,Main Road,Cloudy,No,Yellow
Sector 43,2025-06-13,12:00:00,624,Medium,10,Street,Cloudy,No,Green
IT Park,2025-06-13,13:00:00,623,High,22,Main Road,Foggy,No,Yellow
Industrial Area,2025-06-13,14:00:00,661,High,52,Highway,Sunny,No,Green
Industrial Area,2025-06-13,15:00:00,1092,Low,36,Street,Cloudy,Yes,Yellow
Sector 43,2025-06-13,16:00:00,1602,Low,12,Street,Rainy,No,Green
IT Park,2025-06-13,17:00:00,886,High,67,Highway,Cloudy,No,Green
Sector 35,2025-06-13,18:00:00,472,Medium,26,Highway,Foggy,No,Yellow
Sector 22,2025-06-13,19:00:00,1539,High,54,Main Road,Rainy,No,Yellow
Sector 43,2025-06-13,20:00:00,1446,Low,67,Street,Foggy,No,Red
Industrial Area,2025-06-13,21:00:00,807,Low,65,Highway,Sunny,No,Green
Sector 22,2025-06-13,22:00:00,812,Medium,63,Street,Sunny,No,Green
Sector 22,2025-06-13,23:00:00,1154,High,38,Highway,Foggy,No,Yellow
Sector 22,2025-06-14,00:00:00,1624,Medium,63,Street,Cloudy,No,Yellow
Sector 35,2025-06-14,01:00:00,1621,Medium,36,Highway,Rainy,No,Green
Sector 17,2025-06-14,02:00:00,473,Low,54,Street,Cloudy,No,Green
Sector 43,2025-06-14,03:00:00,478,High,40,Main Road,Foggy,No,Yellow
Sector 17,2025-06-14,04:00:00,1461,Low,45,Street,Foggy,No,Yellow
Sector 17,2025-06-14,05:00:00,1994,High,70,Main Road,Cloudy,No,Green
Sector 17,2025-06-14,06:00:00,1782,Low,46,Main Road,Rainy,No,Yellow
Sector 22,2025-06-14,07:00:00,1743,Low,76,Main Road,Rainy,No,Yellow
IT Park,2025-06-14,08:00:00,253,High,45,Street,Rainy,No,Green
Sector 22,2025-06-14,09:00:00,245,High,14,Street,Rainy,No,Red
Sector 22,2025-06-14,10:00:00,777,Low,55,Main Road,Rainy,No,Yellow
Industrial Area,2025-06-14,11:00:00,334,High,61,Highway,Sunny,No,Red
Industrial Area,2025-06-14,12:00:00,245,Low,58,Street,Sunny,No,Yellow
Sector 17,2025-06-14,13:00:00,356,High,15,Street,Foggy,No,Red
Sector 22,2025-06-14,14:00:00,1737,Low,19,Street,Sunny,No,Yellow
Sector 17,2025-06-14,15:00:00,63,Low,32,Street,Rainy,No,Red
Industrial Area,2025-06-14,16:00:00,1910,Low,26,Main Road,Rainy,No,Red
IT Park,2025-06-14,17:00:00,1219,Medium,53,Highway,Rainy,No,Yellow
Sector 43,2025-06-14,18:00:00,1130,High,50,Highway,Foggy,No,Red
Sector 17,2025-06-14,19:00:00,772,Low,24,Highway,Foggy,No,Green
IT Park,2025-06-14,20:00:00,829,Medium,53,Highway,Cloudy,No,Green
Sector 43,2025-06-14,21:00:00,1283,Low,67,Main Road,Sunny,No,Green
Sector 35,2025-06-14,22:00:00,578,Medium,59,Street,Sunny,No,Red
Sector 17,2025-06-14,23:00:00,847,Low,61,Street,Cloudy,No,Yellow
Sector 17,2025-06-15,00:00:00,393,Low,79,Main Road,Cloudy,No,Red
Sector 35,2025-06-15,01:00:00,1788,Medium,77,Street,Sunny,No,Yellow
Sector 35,2025-06-15,02:00:00,1684,Medium,72,Main Road,Rainy,No,Red
Sector 17,2025-06-15,03:00:00,1352,High,67,Highway,Sunny,No,Yellow
Sector 35,2025-06-15,04:00:00,258,High,32,Main Road,Rainy,No,Red
Sector 22,2025-06-15,05:00:00,690,Medium,53,Street,Foggy,No,Red
Sector 43,2025-06-15,06:00:00,1408,High,53,Street,Sunny,No,Green
Sector 43,2025-06-15,07:00:00,1361,Medium,61,Street,Sunny,No,Red
Sector 43,2025-06-15,08:00:00,301,High,76,Highway,Foggy,No,Green
Sector 22,2025-06-15,09:00:00,1338,Low,37,Main Road,Foggy,Yes,Yellow
Sector 35,2025-06-15,10:00:00,320,High,76,Main Road,Foggy,No,Yellow
IT Park,2025-06-15,11:00:00,1997,Low,27,Street,Foggy,No,Green
Sector 35,2025-06-15,12:00:00,969,Low,36,Main Road,Foggy,No,Red
Sector 17,2025-06-15,13:00:00,1773,High,60,Street,Cloudy,No,Yellow
Industrial Area,2025-06-15,14:00:00,468,Medium,69,Main Road,Cloudy,Yes,Red
Sector 43,2025-06-15,15:00:00,1799,Low,58,Highway,Foggy,No,Red
Sector 35,2025-06-15,16:00:00,844,Low,24,Highway,Foggy,No,Red
IT Park,2025-06-15,17:00:00,1284,High,77,Main Road,Foggy,No,Yellow
Sector 17,2025-06-15,18:00:00,1438,Medium,24,Highway,Foggy,No,Yellow
Sector 22,2025-06-15,19:00:00,1149,Medium,60,Highway,Rainy,No,Red
Sector 22,2025-06-15,20:00:00,1733,High,57,Highway,Rainy,No,Green
IT Park,2025-06-15,21:00:00,1394,Medium,10,Street,Foggy,No,Green
Sector 17,2025-06-15,22:00:00,774,High,16,Main Road,Foggy,Yes,Green
Sector 43,2025-06-15,23:00:00,482,High,62,Main Road,Sunny,No,Red
Sector 35,2025-06-16,00:00:00,158,High,40,Street,Foggy,No,Green
Sector 17,2025-06-16,01:00:00,690,Low,27,Street,Foggy,Yes,Yellow
Sector 22,2025-06-16,02:00:00,1595,Low,21,Highway,Cloudy,Yes,Green
IT Park,2025-06-16,03:00:00,1120,Low,57,Main Road,Rainy,No,Green
IT Park,2025-06-16,04:00:00,428,High,39,Street,Foggy,No,Red
Sector 35,2025-06-16,05:00:00,1900,Low,16,Highway,Rainy,No,Yellow
IT Park,2025-06-16,06:00:00,1169,Low,12,Main Road,Rainy,No,Yellow
IT Park,2025-06-16,07:00:00,1007,Low,72,Highway,Sunny,No,Green
Sector 17,2025-06-16,08:00:00,152,High,15,Main Road,Rainy,No,Red
Sector 43,2025-06-16,09:00:00,941,High,24,Highway,Rainy,No,Red
Sector 35,2025-06-16,10:00:00,903,High,52,Main Road,Foggy,No,Green
Sector 17,2025-06-16,11:00:00,1219,Low,27,Main Road,Cloudy,No,Yellow
Sector 43,2025-06-16,12:00:00,1953,Medium,31,Main Road,Foggy,No,Yellow
Sector 17,2025-06-16,13:00:00,1100,Low,70,Main Road,Foggy,No,Yellow
Industrial Area,2025-06-16,14:00:00,1805,Low,70,Highway,Cloudy,No,Red
Sector 17,2025-06-16,15:00:00,579,High,62,Street,Cloudy,Yes,Green
IT Park,2025-06-16,16:00:00,728,High,35,Main Road,Sunny,No,Red
Sector 43,2025-06-16,17:00:00,1038,Low,49,Main Road,Cloudy,No,Yellow
Sector 35,2025-06-16,18:00:00,1155,Low,17,Main Road,Foggy,No,Red
Sector 35,2025-06-16,19:00:00,477,Medium,30,Main Road,Cloudy,No,Yellow
Sector 43,2025-06-16,20:00:00,1657,Medium,52,Highway,Cloudy,No,Green
IT Park,2025-06-16,21:00:00,871,High,30,Street,Cloudy,No,Yellow
Sector 22,2025-06-16,22:00:00,1552,Medium,12,Street,Rainy,No,Green
Sector 17,2025-06-16,23:00:00,1839,Medium,40,Street,Sunny,No,Red
IT Park,2025-06-17,00:00:00,1235,High,36,Highway,Rainy,No,Red
Industrial Area,2025-06-17,01:00:00,1912,Medium,36,Street,Rainy,No,Red
Sector 43,2025-06-17,02:00:00,981,Low,66,Highway,Sunny,No,Yellow
Sector 17,2025-06-17,03:00:00,1475,Medium,42,Highway,Rainy,No,Green
Sector 35,2025-06-17,04:00:00,1581,High,53,Main Road,Cloudy,Yes,Red
Sector 22,2025-06-17,05:00:00,1111,Low,52,Highway,Sunny,No,Red
Industrial Area,2025-06-17,06:00:00,560,Medium,40,Street,Rainy,No,Green
Sector 35,2025-06-17,07:00:00,442,Low,74,Street,Foggy,No,Yellow
Sector 43,2025-06-17,08:00:00,762,Low,26,Street,Rainy,No,Red
Sector 17,2025-06-17,09:00:00,543,Medium,24,Main Road,Foggy,No,Yellow
Sector 43,2025-06-17,10:00:00,1273,Medium,43,Main Road,Cloudy,No,Yellow
Sector 17,2025-06-17,11:00:00,1328,High,13,Main Road,Foggy,No,Yellow
IT Park,2025-06-17,12:00:00,1252,High,37,Highway,Rainy,No,Red
Sector 22,2025-06-17,13:00:00,596,Low,11,Street,Rainy,No,Red
IT Park,2025-06-17,14:00:00,643,High,26,Highway,Rainy,No,Green
IT Park,2025-06-17,15:00:00,438,Low,67,Highway,Sunny,No,Green
Sector 43,2025-06-17,16:00:00,1471,Low,18,Street,Sunny,No,Yellow
Sector 22,2025-06-17,17:00:00,1805,High,40,Main Road,Rainy,No,Red
Sector 17,2025-06-17,18:00:00,207,High,75,Street,Rainy,No,Yellow
Sector 17,2025-06-17,19:00:00,1077,High,71,Highway,Cloudy,No,Green
Industrial Area,2025-06-17,20:00:00,216,Medium,28,Highway,Sunny,No,Yellow
Sector 35,2025-06-17,21:00:00,1541,Low,64,Main Road,Sunny,No,Yellow
Industrial Area,2025-06-17,22:00:00,1009,Low,37,Highway,Sunny,No,Red
Industrial Area,2025-06-17,23:00:00,458,Low,59,Highway,Foggy,Yes,Yellow
Sector 17,2025-06-18,00:00:00,1485,High,74,Street,Rainy,No,Yellow
Sector 43,2025-06-18,01:00:00,1277,High,12,Main Road,Cloudy,No,Red
IT Park,2025-06-18,02:00:00,243,High,61,Street,Cloudy,No,Red
IT Park,2025-06-18,03:00:00,284,High,19,Street,Rainy,No,Green
IT Park,2025-06-18,04:00:00,767,High,30,Street,Rainy,No,Red
Sector 22,2025-06-18,05:00:00,1223,Medium,46,Highway,Cloudy,No,Yellow
Sector 17,2025-06-18,06:00:00,1232,High,24,Highway,Foggy,No,Green
Sector 43,2025-06-18,07:00:00,1352,Low,18,Main Road,Cloudy,No,Green
Sector 22,2025-06-18,08:00:00,865,High,53,Highway,Foggy,No,Green
Sector 35,2025-06-18,09:00:00,453,Low,48,Main Road,Foggy,No,Green
Sector 43,2025-06-18,10:00:00,942,High,14,Street,Sunny,No,Yellow
Industrial Area,2025-06-18,11:00:00,727,High,34,Street,Rainy,No,Yellow
Sector 43,2025-06-18,12:00:00,1384,Low,65,Highway,Sunny,No,Yellow
Sector 43,2025-06-18,13:00:00,117,Low,73,Highway,Foggy,No,Yellow
IT Park,2025-06-18,14:00:00,1536,Low,61,Main Road,Cloudy,No,Green
Sector 43,2025-06-18,15:00:00,137,Low,18,Highway,Sunny,No,Yellow
Industrial Area,2025-06-18,16:00:00,266,Medium,19,Highway,Cloudy,No,Green
Industrial Area,2025-06-18,17:00:00,50,Low,19,Highway,Foggy,No,Red
Sector 17,2025-06-18,18:00:00,1208,High,71,Street,Cloudy,Yes,Yellow
Sector 43,2025-06-18,19:00:00,1770,High,69,Highway,Sunny,No,Red
IT Park,2025-06-18,20:00:00,1424,Medium,28,Highway,Foggy,No,Red
Sector 43,2025-06-18,21:00:00,189,Low,47,Street,Rainy,No,Yellow
Sector 35,2025-06-18,22:00:00,667,High,15,Street,Sunny,No,Green
Sector 35,2025-06-18,23:00:00,182,Medium,24,Street,Sunny,No,Red
IT Park,2025-06-19,00:00:00,1693,High,56,Street,Rainy,No,Yellow
Sector 17,2025-06-19,01:00:00,227,Medium,54,Highway,Foggy,Yes,Red
Sector 17,2025-06-19,02:00:00,859,Medium,14,Highway,Rainy,No,Red
Industrial Area,2025-06-19,03:00:00,1431,Low,62,Highway,Sunny,No,Yellow
Industrial Area,2025-06-19,04:00:00,429,Medium,75,Main Road,Foggy,No,Red
Sector 22,2025-06-19,05:00:00,957,High,71,Street,Cloudy,No,Green
IT Park,2025-06-19,06:00:00,1944,High,32,Highway,Sunny,No,Green
Sector 43,2025-06-19,07:00:00,707,Low,53,Highway,Cloudy,No,Red
IT Park,2025-06-19,08:00:00,499,Low,61,Highway,Rainy,No,Red
Sector 22,2025-06-19,09:00:00,635,Medium,55,Street,Foggy,No,Yellow
Industrial Area,2025-06-19,10:00:00,512,Low,28,Street,Rainy,No,Green
IT Park,2025-06-19,11:00:00,1039,High,56,Street,Cloudy,No,Red
IT Park,2025-06-19,12:00:00,1181,High,61,Highway,Sunny,Yes,Green
Industrial Area,2025-06-19,13:00:00,171,Low,33,Street,Foggy,No,Red
Sector 22,2025-06-19,14:00:00,66,Low,26,Highway,Rainy,No,Yellow
Industrial Area,2025-06-19,15:00:00,1269,Low,55,Main Road,Cloudy,No,Yellow
Sector 17,2025-06-19,16:00:00,376,Medium,73,Street,Cloudy,No,Green
Sector 43,2025-06-19,17:00:00,367,Medium,37,Street,Sunny,No,Green
Industrial Area,2025-06-19,18:00:00,858,High,59,Highway,Cloudy,No,Red
Sector 22,2025-06-19,19:00:00,1552,Medium,73,Street,Foggy,Yes,Red
Sector 35,2025-06-19,20:00:00,1325,Medium,37,Street,Cloudy,No,Red
Sector 17,2025-06-19,21:00:00,552,Medium,65,Highway,Sunny,Yes,Green
Sector 35,2025-06-19,22:00:00,168,Medium,68,Highway,Rainy,No,Yellow
Industrial Area,2025-06-19,23:00:00,1747,High,14,Highway,Foggy,No,Yellow
Sector 17,2025-06-20,00:00:00,759,Low,63,Main Road,Rainy,No,Green
Sector 43,2025-06-20,01:00:00,1571,High,53,Highway,Rainy,No,Yellow
Industrial Area,2025-06-20,02:00:00,1559,Medium,51,Street,Cloudy,No,Green
Sector 43,2025-06-20,03:00:00,94,Low,66,Main Road,Cloudy,No,Red
IT Park,2025-06-20,04:00:00,363,Low,56,Highway,Sunny,No,Green
Sector 35,2025-06-20,05:00:00,1252,Low,34,Main Road,Cloudy,No,Yellow
Sector 17,2025-06-20,06:00:00,1967,High,53,Main Road,Cloudy,No,Green
Sector 43,2025-06-20,07:00:00,467,Low,24,Street,Rainy,No,Green
Sector 22,2025-06-20,08:00:00,605,High,60,Main Road,Foggy,No,Green
Sector 43,2025-06-20,09:00:00,1856,High,62,Highway,Cloudy,No,Green
Sector 22,2025-06-20,10:00:00,1151,Medium,43,Main Road,Foggy,No,Yellow
Industrial Area,2025-06-20,11:00:00,375,Medium,17,Main Road,Cloudy,No,Red
Sector 17,2025-06-20,12:00:00,1763,Low,79,Street,Cloudy,No,Yellow
Sector 43,2025-06-20,13:00:00,1430,Low,30,Street,Sunny,No,Yellow
Sector 43,2025-06-20,14:00:00,1489,Medium,16,Highway,Cloudy,No,Red
Sector 17,2025-06-20,15:00:00,564,High,65,Street,Sunny,No,Yellow
Sector 43,2025-06-20,16:00:00,263,High,58,Highway,Rainy,No,Red
Sector 22,2025-06-20,17:00:00,1927,Medium,51,Highway,Foggy,Yes,Red
Sector 43,2025-06-20,18:00:00,123,High,32,Street,Cloudy,No,Green
Sector 35,2025-06-20,19:00:00,1636,Medium,61,Main Road,Sunny,No,Yellow
Industrial Area,2025-06-20,20:00:00,1652,Medium,62,Street,Rainy,No,Red
IT Park,2025-06-20,21:00:00,558,Low,25,Main Road,Cloudy,No,Yellow
Sector 22,2025-06-20,22:00:00,381,Low,46,Main Road,Sunny,No,Yellow
Sector 35,2025-06-20,23:00:00,1166,Medium,27,Highway,Sunny,No,Red
Industrial Area,2025-06-21,00:00:00,737,Low,29,Highway,Rainy,No,Green
Sector 17,2025-06-21,01:00:00,706,Medium,55,Street,Cloudy,No,Red
Sector 22,2025-06-21,02:00:00,1592,High,11,Main Road,Cloudy,No,Green
IT Park,2025-06-21,03:00:00,1342,High,72,Street,Foggy,No,Red
Industrial Area,2025-06-21,04:00:00,1449,High,12,Highway,Cloudy,Yes,Red
IT Park,2025-06-21,05:00:00,1907,High,55,Main Road,Sunny,No,Green
Sector 17,2025-06-21,06:00:00,1077,Medium,58,Street,Foggy,No,Green
Sector 17,2025-06-21,07:00:00,1211,High,10,Street,Foggy,No,Yellow
Sector 22,2025-06-21,08:00:00,1304,High,31,Highway,Cloudy,No,Red
Sector 43,2025-06-21,09:00:00,649,High,23,Highway,Foggy,No,Yellow
Sector 17,2025-06-21,10:00:00,1602,High,54,Highway,Sunny,No,Yellow
Industrial Area,2025-06-21,11:00:00,1125,Medium,15,Highway,Sunny,No,Green
Sector 43,2025-06-21,12:00:00,1719,High,74,Street,Rainy,Yes,Green
Sector 35,2025-06-21,13:00:00,1796,Low,30,Highway,Sunny,No,Yellow
IT Park,2025-06-21,14:00:00,374,Low,13,Highway,Rainy,No,Green
Sector 43,2025-06-21,15:00:00,1041,Low,12,Street,Foggy,No,Red
IT Park,2025-06-21,16:00:00,1978,Low,39,Street,Rainy,No,Green
Sector 43,2025-06-21,17:00:00,1804,Low,40,Main Road,Cloudy,No,Green
Sector 35,2025-06-21,18:00:00,766,Low,43,Street,Rainy,No,Red
Sector 17,2025-06-21,19:00:00,772,Medium,29,Main Road,Cloudy,No,Green
Sector 35,2025-06-21,20:00:00,326,Low,63,Highway,Foggy,No,Yellow
Sector 17,2025-06-21,21:00:00,585,High,34,Main Road,Rainy,No,Yellow
Sector 17,2025-06-21,22:00:00,1559,Low,24,Main Road,Sunny,No,Yellow
IT Park,2025-06-21,23:00:00,1589,Medium,47,Highway,Cloudy,No,Green
Industrial Area,2025-06-22,00:00:00,201,Low,32,Highway,Foggy,No,Green
Sector 35,2025-06-22,01:00:00,1004,High,61,Highway,Sunny,No,Green
Sector 43,2025-06-22,02:00:00,1556,High,75,Main Road,Cloudy,No,Yellow
Sector 35,2025-06-22,03:00:00,308,Medium,66,Street,Foggy,No,Green
IT Park,2025-06-22,04:00:00,373,Medium,66,Street,Foggy,No,Red
Sector 17,2025-06-22,05:00:00,1066,Medium,61,Street,Sunny,No,Green
IT Park,2025-06-22,06:00:00,918,Medium,44,Highway,Foggy,No,Yellow
Sector 22,2025-06-22,07:00:00,1241,Low,23,Highway,Rainy,Yes,Red
Sector 22,2025-06-22,08:00:00,737,Low,23,Street,Foggy,No,Red
Sector 43,2025-06-22,09:00:00,359,High,42,Highway,Cloudy,No,Yellow
IT Park,2025-06-22,10:00:00,852,Medium,61,Main Road,Cloudy,No,Red
Sector 43,2025-06-22,11:00:00,1552,Medium,10,Main Road,Cloudy,No,Red
Sector 43,2025-06-22,12:00:00,1129,Low,43,Highway,Rainy,No,Red
Sector 22,2025-06-22,13:00:00,669,Medium,28,Street,Sunny,No,Red
Sector 43,2025-06-22,14:00:00,522,High,33,Street,Rainy,No,Red
Sector 22,2025-06-22,15:00:00,1369,High,13,Main Road,Rainy,Yes,Green
Sector 17,2025-06-22,16:00:00,510,Medium,45,Highway,Rainy,No,Yellow
IT Park,2025-06-22,17:00:00,1397,High,67,Street,Foggy,No,Yellow
Sector 43,2025-06-22,18:00:00,863,High,41,Street,Sunny,Yes,Green
Sector 22,2025-06-22,19:00:00,895,Low,18,Highway,Foggy,No,Green
Sector 35,2025-06-22,20:00:00,1214,High,76,Highway,Rainy,Yes,Yellow
Sector 43,2025-06-22,21:00:00,716,Medium,29,Street,Cloudy,No,Yellow
Industrial Area,2025-06-22,22:00:00,311,Medium,71,Highway,Rainy,No,Green
Sector 17,2025-06-22,23:00:00,1858,High,67,Highway,Sunny,No,Green
Sector 17,2025-06-23,00:00:00,1493,Medium,31,Highway,Cloudy,No,Red
Sector 35,2025-06-23,01:00:00,1817,Low,76,Street,Sunny,No,Green
Sector 22,2025-06-23,02:00:00,1314,High,57,Main Road,Rainy,No,Green
Sector 43,2025-06-23,03:00:00,404,High,17,Highway,Sunny,No,Red
Sector 22,2025-06-23,04:00:00,1922,High,24,Street,Foggy,No,Red
Sector 17,2025-06-23,05:00:00,819,Medium,41,Main Road,Cloudy,No,Yellow
Sector 22,2025-06-23,06:00:00,1834,Medium,62,Street,Sunny,No,Yellow
Sector 17,2025-06-23,07:00:00,1662,High,76,Street,Cloudy,No,Green
Sector 22,2025-06-23,08:00:00,229,Medium,13,Street,Cloudy,No,Red
Sector 35,2025-06-23,09:00:00,115,Medium,39,Main Road,Rainy,No,Red
IT Park,2025-06-23,10:00:00,869,High,22,Street,Rainy,No,Yellow
Sector 35,2025-06-23,11:00:00,1421,High,30,Main Road,Cloudy,No,Yellow
Sector 35,2025-06-23,12:00:00,220,Medium,50,Highway,Sunny,No,Green
IT Park,2025-06-23,13:00:00,523,High,28,Main Road,Cloudy,No,Red
IT Park,2025-06-23,14:00:00,583,High,57,Street,Rainy,No,Yellow
Sector 43,2025-06-23,15:00:00,1440,High,72,Main Road,Sunny,No,Green
Sector 43,2025-06-23,16:00:00,1180,High,29,Street,Cloudy,No,Green
Sector 35,2025-06-23,17:00:00,488,Medium,73,Highway,Rainy,No,Green
Sector 35,2025-06-23,18:00:00,884,High,46,Main Road,Cloudy,No,Yellow
Sector 17,2025-06-23,19:00:00,276,Low,40,Highway,Cloudy,No,Yellow
Sector 17,2025-06-23,20:00:00,1517,High,27,Main Road,Cloudy,No,Yellow
Sector 43,2025-06-23,21:00:00,491,Low,29,Street,Sunny,No,Yellow
Industrial Area,2025-06-23,22:00:00,445,High,20,Main Road,Rainy,No,Yellow
Industrial Area,2025-06-23,23:00:00,777,Low,53,Highway,Rainy,No,Red
Sector 43,2025-06-24,00:00:00,1654,Low,73,Main Road,Foggy,No,Red
